date,closing,adjusted,evolution,quantity,volume
2020-01-04,979.0,979.0,-0.31,1.0,979.0
2020-01-06,1004.0,1004.0,0.4,1.0,1004.0
2020-01-07,986.0,986.0,-1.89,8.0,7888.0
2020-01-09,1005.0,1005.0,0.0,1.0,1005.0
2020-01-10,1005.0,1005.0,0.0,1.0,1005.0
2020-01-12,1040.0,1040.0,0.0,1.0,1040.0
2020-01-13,1025.0,1025.0,0.29,1.0,1025.0
2020-01-14,1025.0,1025.0,0.0,1.0,1025.0
2020-01-15,1025.0,1025.0,0.0,1.0,1025.0
2020-01-16,1025.0,1025.0,0.0,1.0,1025.0
2020-01-17,1050.0,1050.0,2.44,10761.0,10880438.0
2020-01-20,1050.0,1050.0,0.0,1.0,1050.0
2020-01-21,1071.0,1071.0,2.0,144.0,154220.0
2020-01-22,1071.0,1071.0,0.0,1.0,1071.0
2020-01-23,1050.0,1050.0,-1.96,1.0,1050.0
2020-01-24,1052.0,1052.0,0.19,1.0,1052.0
2020-01-27,1052.0,1052.0,0.0,1.0,1052.0
2020-01-28,1052.0,1052.0,0.0,1.0,1052.0
2020-01-29,1052.0,1052.0,0.0,1.0,1052.0
2020-01-30,1052.0,1052.0,0.0,1.0,1052.0
2020-01-31,1032.0,1032.0,-1.9,10.0,10320.0
2020-02-01,1025.0,1025.0,0.0,1.0,1025.0
2020-02-03,1070.0,1070.0,0.38,36.0,38520.0
2020-02-04,979.0,979.0,0.0,1.0,979.0
2020-02-06,1004.0,1004.0,0.0,1.0,1004.0
2020-02-07,994.0,994.0,0.81,1.0,994.0
2020-02-09,986.0,986.0,-1.89,18.0,17751.0
2020-02-10,1005.0,1005.0,0.0,1.0,1005.0
2020-02-11,1019.0,1019.0,-0.1,1.0,1019.0
2020-02-12,1040.0,1040.0,0.0,1.0,1040.0
2020-02-13,1030.0,1030.0,0.0,1.0,1030.0
2020-02-14,1030.0,1030.0,0.0,1.0,1030.0
2020-02-17,1016.0,1016.0,-1.36,6.0,6096.0
2020-02-18,1020.0,1020.0,0.39,1.0,1020.0
2020-02-19,1040.0,1040.0,1.96,50.0,52000.0
2020-02-20,1040.0,1040.0,0.0,1.0,1040.0
2020-02-21,1040.0,1040.0,0.0,1.0,1040.0
2020-02-24,1060.0,1060.0,1.92,40.0,42400.0
2020-02-25,1065.0,1065.0,0.47,1.0,1065.0
2020-02-26,1067.0,1067.0,0.19,1.0,1067.0
2020-02-27,1067.0,1067.0,0.0,1.0,1067.0
2020-02-28,1066.0,1066.0,-0.09,1.0,1066.0
2020-03-01,1025.0,1025.0,0.0,1.0,1025.0
2020-03-02,1032.0,1032.0,0.0,1.0,1032.0
2020-03-03,1070.0,1070.0,0.0,48.0,51360.0
2020-03-04,979.0,979.0,0.0,1.0,979.0
2020-03-06,1005.0,1005.0,0.1,1.0,1005.0
2020-03-07,1000.0,1000.0,0.6,1.0,1000.0
2020-03-08,1029.0,1029.0,1.98,48.0,49384.0
2020-03-09,995.0,995.0,0.91,1.0,995.0
2020-03-11,1020.0,1020.0,0.1,1.0,1020.0
2020-03-12,1040.0,1040.0,0.0,1.0,1040.0
2020-03-13,1010.0,1010.0,-1.46,207.0,209070.0
2020-03-16,990.0,990.0,-1.98,52.0,51483.0
2020-03-17,990.0,990.0,0.0,1.0,990.0
2020-03-18,974.0,974.0,-1.62,21.0,20502.0
2020-03-19,960.0,960.0,-1.44,43.0,41280.0
2020-03-20,941.0,941.0,-1.98,1214.0,1142374.0
2020-03-23,943.0,943.0,0.21,1.0,943.0
2020-03-24,943.0,943.0,0.0,1.0,943.0
2020-03-25,943.0,943.0,0.0,1.0,943.0
2020-03-26,960.0,960.0,1.8,1.0,960.0
2020-03-27,963.0,963.0,0.31,1.0,963.0
2020-03-30,963.0,963.0,0.0,1.0,963.0
2020-03-31,982.0,982.0,1.97,25.0,24550.0
2020-04-02,1032.0,1032.0,0.0,1.0,1032.0
2020-04-03,1066.0,1066.0,-0.37,1.0,1066.0
2020-04-05,979.0,979.0,0.93,1.0,979.0
2020-04-06,1005.0,1005.0,0.0,1.0,1005.0
2020-04-08,1028.0,1028.0,-0.1,1.0,1028.0
2020-04-09,1000.0,1000.0,0.5,1.0,1000.0
2020-04-11,1019.0,1019.0,-0.1,1.0,1019.0
2020-04-12,1039.0,1039.0,-0.1,1.0,1039.0
2020-04-13,990.0,990.0,0.0,1.0,990.0
2020-04-14,990.0,990.0,0.0,1.0,990.0
2020-04-15,990.0,990.0,0.0,1.0,990.0
2020-04-16,994.0,994.0,0.4,1.0,994.0
2020-04-17,994.0,994.0,0.0,1.0,994.0
2020-04-20,994.0,994.0,0.0,1.0,994.0
2020-04-21,998.0,998.0,0.4,1.0,998.0
2020-04-22,998.0,998.0,0.0,1.0,998.0
2020-04-23,959.0,959.0,-3.91,50.0,47950.0
2020-04-24,948.0,948.0,-1.15,5.0,4740.0
2020-04-27,941.0,941.0,-0.74,2.0,1882.0
2020-04-28,940.0,940.0,-0.11,2.0,1880.0
2020-04-29,952.0,952.0,1.28,1.0,952.0
2020-04-30,970.0,970.0,1.89,301.0,291970.0
2020-05-02,1032.0,1032.0,0.0,1.0,1032.0
2020-05-03,1066.0,1066.0,0.0,1.0,1066.0
2020-05-05,989.0,989.0,1.02,1.0,989.0
2020-05-06,1005.0,1005.0,0.0,1.0,1005.0
2020-05-08,1017.0,1017.0,3.99,5.0,5085.0
2020-05-10,1045.0,1045.0,3.98,130.0,132735.0
2020-05-11,1018.0,1018.0,-0.1,1.0,1018.0
2020-05-13,1001.0,1001.0,0.0,1.0,1001.0
2020-05-14,1001.0,1001.0,0.0,1.0,1001.0
2020-05-15,1001.0,1001.0,0.0,1.0,1001.0
2020-05-18,1001.0,1001.0,0.0,1.0,1001.0
2020-05-19,1001.0,1001.0,0.0,1.0,1001.0
2020-05-20,1001.0,1001.0,0.0,1.0,1001.0
2020-05-21,1001.0,1001.0,0.0,1.0,1001.0
2020-05-22,1001.0,1001.0,0.0,1.0,1001.0
2020-05-26,1001.0,1001.0,0.0,1.0,1001.0
2020-05-27,1020.0,1020.0,1.9,45.0,45895.0
2020-05-28,1020.0,1020.0,0.0,1.0,1020.0
2020-05-29,1000.0,1000.0,-1.96,46.0,46000.0
2020-06-01,1011.0,1011.0,-1.37,1.0,1011.0
2020-06-02,1032.0,1032.0,0.0,1.0,1032.0
2020-06-03,1070.0,1070.0,0.38,1.0,1070.0
2020-06-04,979.0,979.0,0.0,1.0,979.0
2020-06-05,999.0,999.0,1.01,1.0,999.0
2020-06-07,1004.0,1004.0,0.4,1.0,1004.0
2020-06-08,990.0,990.0,-2.65,10.0,9900.0
2020-06-10,1045.0,1045.0,0.0,1.0,1045.0
2020-06-15,1000.0,1000.0,0.5,1.0,1000.0
2020-06-16,1002.0,1002.0,0.2,1.0,1002.0
2020-06-17,1022.0,1022.0,2.0,40.0,40880.0
2020-06-18,1025.0,1025.0,0.29,1.0,1025.0
2020-06-19,1025.0,1025.0,0.0,1.0,1025.0
2020-06-22,1005.0,1005.0,-1.95,41.0,41244.0
2020-06-23,1005.0,1005.0,0.0,1.0,1005.0
2020-06-24,1005.0,1005.0,0.0,1.0,1005.0
2020-06-25,1005.0,1005.0,0.0,1.0,1005.0
2020-06-26,1005.0,1005.0,0.0,1.0,1005.0
2020-06-29,1005.0,1005.0,0.0,1.0,1005.0
2020-06-30,1005.0,1005.0,0.0,1.0,1005.0
2020-07-01,1020.0,1020.0,0.89,1.0,1020.0
2020-07-02,1032.0,1032.0,0.0,1.0,1032.0
2020-07-04,985.0,985.0,0.61,1.0,985.0
2020-07-05,1000.0,1000.0,0.1,1.0,1000.0
2020-07-07,1004.0,1004.0,0.0,1.0,1004.0
2020-07-08,1001.0,1001.0,1.11,1.0,1001.0
2020-07-09,1005.0,1005.0,0.5,1.0,1005.0
2020-07-10,1045.0,1045.0,0.0,1.0,1045.0
2020-07-12,1039.0,1039.0,0.0,1.0,1039.0
2020-07-13,1004.0,1004.0,0.0,1.0,1004.0
2020-07-14,1004.0,1004.0,0.0,1.0,1004.0
2020-07-15,1010.0,1010.0,0.6,2.0,2020.0
2020-07-16,1009.0,1009.0,-0.1,1.0,1009.0
2020-07-17,1000.0,1000.0,-0.89,2870.0,2870000.0
2020-07-20,1000.0,1000.0,0.0,1.0,1000.0
2020-07-21,1004.0,1004.0,0.4,1.0,1004.0
2020-07-22,1005.0,1005.0,0.1,1.0,1005.0
2020-07-23,1001.0,1001.0,-0.4,2.0,2002.0
2020-07-24,1005.0,1005.0,0.4,1.0,1005.0
2020-07-27,1009.0,1009.0,0.4,1.0,1009.0
2020-07-28,1009.0,1009.0,0.0,1.0,1009.0
2020-07-29,1009.0,1009.0,0.0,1.0,1009.0
2020-08-01,1020.0,1020.0,0.0,1.0,1020.0
2020-08-04,990.0,990.0,0.51,1.0,990.0
2020-08-05,1001.0,1001.0,0.1,1.0,1001.0
2020-08-06,1005.0,1005.0,0.0,1.0,1005.0
2020-08-07,1004.0,1004.0,0.0,1.0,1004.0
2020-08-09,1005.0,1005.0,0.0,1.0,1005.0
2020-08-10,1045.0,1045.0,0.0,1.0,1045.0
2020-08-12,1039.0,1039.0,0.0,1.0,1039.0
2020-08-13,1005.0,1005.0,0.0,1.0,1005.0
2020-08-17,1005.0,1005.0,0.0,1.0,1005.0
2020-08-18,1004.0,1004.0,-0.1,1.0,1004.0
2020-08-19,1005.0,1005.0,0.1,1.0,1005.0
2020-08-24,1005.0,1005.0,0.0,1.0,1005.0
2020-08-25,1005.0,1005.0,0.0,1.0,1005.0
2020-08-26,1005.0,1005.0,0.0,1.0,1005.0
2020-08-27,1005.0,1005.0,0.0,1.0,1005.0
2020-08-28,1005.0,1005.0,0.0,1.0,1005.0
2020-08-31,1005.0,1005.0,0.0,1.0,1005.0
2020-09-01,1020.0,1020.0,0.0,1.0,1020.0
2020-09-03,1050.0,1050.0,-1.87,40.0,42000.0
2020-09-04,990.0,990.0,0.0,1.0,990.0
2020-09-06,1005.0,1005.0,0.0,1.0,1005.0
2020-09-07,1004.0,1004.0,0.0,1.0,1004.0
2020-09-09,1005.0,1005.0,0.0,1.0,1005.0
2020-09-10,1045.0,1045.0,0.0,1.0,1045.0
2020-09-11,1018.0,1018.0,0.0,1.0,1018.0
2020-09-12,1040.0,1040.0,0.1,1.0,1040.0
2020-09-14,1005.0,1005.0,0.0,1.0,1005.0
2020-09-15,1005.0,1005.0,0.0,1.0,1005.0
2020-09-16,1005.0,1005.0,0.0,1.0,1005.0
2020-09-17,1005.0,1005.0,0.0,1.0,1005.0
2020-09-18,1005.0,1005.0,0.0,1.0,1005.0
2020-09-21,1005.0,1005.0,0.0,1.0,1005.0
2020-09-22,1005.0,1005.0,0.0,1.0,1005.0
2020-09-23,986.0,986.0,-1.89,6.0,5919.0
2020-09-24,994.0,994.0,0.81,1.0,994.0
2020-09-25,999.0,999.0,0.5,1.0,999.0
2020-09-28,1005.0,1005.0,0.6,1.0,1005.0
2020-09-29,1005.0,1005.0,0.0,1.0,1005.0
2020-09-30,1005.0,1005.0,0.0,1.0,1005.0
2020-10-01,1022.0,1022.0,0.2,1.0,1022.0
2020-10-02,1025.0,1025.0,-0.68,1.0,1025.0
2020-10-03,1046.0,1046.0,-0.38,1.0,1046.0
2020-10-04,990.0,990.0,0.0,1.0,990.0
2020-10-06,985.0,985.0,-1.99,26.0,25610.0
2020-10-07,1004.0,1004.0,0.0,1.0,1004.0
2020-10-08,1004.0,1004.0,0.3,1.0,1004.0
2020-10-09,1005.0,1005.0,0.0,1.0,1005.0
2020-10-11,1019.0,1019.0,0.1,9.0,9171.0
2020-10-12,1040.0,1040.0,0.0,1.0,1040.0
2020-10-13,1045.0,1045.0,0.0,1.0,1045.0
2020-10-14,1045.0,1045.0,0.0,1.0,1045.0
2020-10-15,1045.0,1045.0,0.0,1.0,1045.0
2020-10-16,1040.0,1040.0,-0.48,1.0,1040.0
2020-10-19,1040.0,1040.0,0.0,1.0,1040.0
2020-10-20,1040.0,1040.0,0.0,1.0,1040.0
2020-10-21,1040.0,1040.0,0.0,1.0,1040.0
2020-10-22,1020.0,1020.0,-1.92,11.0,11220.0
2020-10-23,1020.0,1020.0,0.0,1.0,1020.0
2020-10-26,1020.0,1020.0,0.0,1.0,1020.0
2020-10-27,1020.0,1020.0,0.0,1.0,1020.0
2020-10-28,1020.0,1020.0,0.0,1.0,1020.0
2020-11-02,1030.0,1030.0,0.49,1.0,1030.0
2020-11-03,1046.0,1046.0,0.0,1.0,1046.0
2020-11-05,1001.0,1001.0,0.0,1.0,1001.0
2020-11-06,989.0,989.0,0.41,1.0,989.0
2020-11-08,1005.0,1005.0,0.1,1.0,1005.0
2020-11-09,1005.0,1005.0,0.0,127.0,127635.0
2020-11-11,1020.0,1020.0,0.1,1.0,1020.0
2020-11-12,1040.0,1040.0,0.0,55.0,57200.0
2020-11-13,1020.0,1020.0,0.0,1.0,1020.0
2020-11-16,1020.0,1020.0,0.0,1.0,1020.0
2020-11-17,1020.0,1020.0,0.0,1.0,1020.0
2020-11-19,1020.0,1020.0,0.0,1.0,1020.0
2020-11-20,1020.0,1020.0,0.0,1.0,1020.0
2020-11-23,1020.0,1020.0,0.0,1.0,1020.0
2020-11-24,1001.0,1001.0,-1.86,11.0,11011.0
2020-11-25,1002.0,1002.0,0.1,1.0,1002.0
2020-11-26,1030.0,1030.0,2.79,45.0,46350.0
2020-11-27,1039.0,1039.0,0.87,1.0,1039.0
2020-11-30,1040.0,1040.0,0.1,1.0,1040.0
2020-12-02,1030.0,1030.0,0.0,1.0,1030.0
2020-12-03,1025.0,1025.0,-2.01,16.0,16525.0
2020-12-05,1001.0,1001.0,0.0,1.0,1001.0
2020-12-06,995.0,995.0,0.61,1.0,995.0
2020-12-08,1005.0,1005.0,0.0,1.0,1005.0
2020-12-10,1045.0,1045.0,0.0,1.0,1045.0
2020-12-11,1020.0,1020.0,0.0,1.0,1020.0
2020-12-14,1050.0,1050.0,0.96,1.0,1050.0
2020-12-15,1050.0,1050.0,0.0,3.0,3150.0
2020-12-16,1060.0,1060.0,0.95,1.0,1060.0
2020-12-17,1072.0,1072.0,1.13,1.0,1072.0
2020-12-18,1110.0,1110.0,3.54,81.0,89910.0
2020-12-21,1100.0,1100.0,-0.9,45.0,49500.0
2020-12-22,1101.0,1101.0,0.09,1.0,1101.0
2020-12-23,1101.0,1101.0,0.0,1.0,1101.0
2020-12-24,1101.0,1101.0,0.0,1.0,1101.0
2020-12-25,1057.0,1057.0,-4.0,63.0,66591.0
2020-12-28,1078.0,1078.0,1.99,15.0,16170.0
2020-12-29,1100.0,1100.0,2.04,26.0,28600.0
2020-12-30,1100.0,1100.0,0.0,40.0,44000.0
2020-12-31,1116.0,1116.0,1.45,1.0,1116.0
2021-01-02,1152.0,1152.0,0.0,1.0,1152.0
